,Country,Region,Year,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
0,Turkiye,Middle East,2015,13.0,105.824,1.32,97,27.8,97,97,0.08,11006,7.8,0,1,76.5
1,Spain,European Union,2015,3.3,57.9025,10.35,97,26.0,97,97,0.09,25742,9.7,1,0,82.8
2,India,Asia,2007,67.9,201.0765,1.57,60,21.2,67,64,0.13,1076,5.0,0,1,65.4
3,Guyana,South America,2006,40.5,222.1965,5.68,93,25.3,92,93,0.79,4146,7.9,0,1,67.0
4,Israel,Middle East,2012,4.3,57.951,2.89,97,27.0,94,94,0.08,33995,12.8,1,0,81.7
5,Costa Rica,Central America and Caribbean,2006,11.2,95.22,4.19,88,26.4,89,89,0.16,9110,7.9,0,1,78.2
6,Russian Federation,Rest of Europe,2015,8.2,223.0,8.06,97,26.2,97,97,0.08,9313,12.0,0,1,71.2
7,Hungary,European Union,2000,10.1,192.969,12.23,88,25.9,99,99,0.08,8971,10.2,1,0,71.2
8,Jordan,Middle East,2001,26.1,129.764,0.52,97,27.9,97,99,0.13,3708,9.6,0,1,71.9
9,Moldova,Rest of Europe,2008,17.8,217.857,7.72,97,26.5,96,90,0.43,2235,10.9,0,1,68.7
10,Brazil,South America,2012,17.2,150.2245,7.12,96,26.1,96,95,0.24,9057,7.3,0,1,74.2
11,Malta,European Union,2007,6.8,58.0185,7.47,82,27.1,76,74,0.08,19338,9.9,1,0,79.8
12,"Bahamas, The",Central America and Caribbean,2011,15.2,165.538,9.23,95,27.6,97,98,0.46,32027,11.0,0,1,72.3
13,Ukraine,Rest of Europe,2002,16.6,261.6095,7.13,48,25.8,99,99,0.55,1660,10.5,0,1,68.3
14,Switzerland,Rest of Europe,2006,4.9,63.2435,10.24,88,25.0,94,94,0.08,79368,12.3,1,0,81.5
15,Norway,Rest of Europe,2001,4.7,80.4955,5.49,88,25.7,91,91,0.03,68489,12.1,1,0,78.8
16,Finland,European Union,2013,2.7,76.567,9.08,88,26.0,98,98,0.08,43045,12.3,1,0,81.0
17,Comoros,Africa,2007,91.9,255.8815,0.15,75,23.5,75,75,0.02,1166,3.5,0,1,60.7
18,Japan,Asia,2005,3.7,68.768,7.98,83,22.6,95,98,0.17,33099,11.2,1,0,81.9
19,Gabon,Africa,2012,57.1,256.88,7.47,82,24.9,80,82,1.57,7181,7.8,0,1,62.9
20,Ghana,Africa,2011,65.9,257.0865,1.67,91,23.7,91,91,0.93,1580,6.8,0,1,61.4
21,Philippines,Asia,2001,36.9,214.2685,4.53,45,22.3,76,79,0.01,1847,7.7,0,1,68.8
22,"Congo, Rep.",Africa,2003,100.2,406.702,0.9,71,22.3,50,50,2.23,2072,5.7,0,1,53.8
23,Madagascar,Africa,2011,67.0,237.6755,0.89,73,21.1,73,73,0.15,464,6.1,0,1,63.8
24,Estonia,European Union,2004,7.8,194.0975,15.52,90,25.8,95,94,0.08,13283,12.0,1,0,71.9
25,Belize,Central America and Caribbean,2013,16.9,179.144,6.6,95,28.7,95,95,0.39,4667,10.5,0,1,73.5
26,Kazakhstan,Asia,2006,29.0,270.9885,6.76,99,25.8,99,99,0.08,7838,11.7,0,1,66.2
27,Cameroon,Africa,2015,88.0,340.1265,4.55,84,24.3,77,84,1.12,1383,6.1,0,1,57.6
28,Jordan,Middle East,2006,22.5,121.011,0.55,98,28.3,98,98,0.13,4516,9.8,0,1,72.8
29,Zimbabwe,Africa,2009,91.3,551.9115,2.77,73,23.6,69,73,7.31,941,7.2,0,1,48.4
30,Bhutan,Asia,2005,57.5,253.2655,0.73,95,22.8,95,95,0.19,1489,2.3,0,1,65.3
31,Switzerland,Rest of Europe,2010,4.6,56.9105,10.01,88,25.1,96,95,0.06,82027,13.3,1,0,82.2
32,South Africa,Africa,2006,79.2,515.718,7.3,83,26.6,79,82,11.13,5827,9.0,0,1,53.8
33,Jordan,Middle East,2012,19.0,113.2855,0.36,98,28.7,98,98,0.13,4387,9.9,0,1,73.7
34,Eritrea,Africa,2012,51.2,274.029,1.03,94,20.6,94,94,0.18,699,3.9,0,1,63.2
35,Germany,European Union,2010,4.2,77.604,11.58,88,26.3,94,95,0.03,37761,13.8,1,0,80.0
36,Saudi Arabia,Middle East,2014,9.6,89.12,0.0,98,28.3,98,98,0.13,20328,9.5,0,1,74.5
37,Kiribati,Oceania,2004,64.6,214.7745,0.49,67,29.1,61,62,0.17,1488,7.2,0,1,64.2
38,Seychelles,Africa,2011,14.2,154.4505,7.83,99,26.3,99,99,3.5,13664,8.4,0,1,72.7
39,Madagascar,Africa,2012,64.8,232.446,0.85,68,21.1,71,70,0.18,465,6.1,0,1,64.3
40,Singapore,Asia,2014,2.7,52.393,1.84,96,23.6,96,96,0.08,54683,11.4,0,1,82.5
41,Togo,Africa,2008,94.4,318.7475,1.44,82,22.9,80,81,1.45,456,4.3,0,1,56.2
42,Denmark,European Union,2009,4.2,85.8135,10.08,88,25.3,89,89,0.04,50457,12.7,1,0,78.6
43,"Gambia, The",Africa,2015,59.8,261.7065,2.69,97,23.9,96,97,0.96,661,3.4,0,1,60.9
44,Costa Rica,Central America and Caribbean,2014,9.3,87.237,3.12,91,27.2,91,91,0.19,11355,8.6,0,1,79.4
45,Belize,Central America and Caribbean,2010,18.9,181.584,6.47,96,28.4,96,96,0.37,4768,10.5,0,1,72.1
46,Sweden,European Union,2010,3.1,57.492,7.38,61,25.8,98,98,0.08,48370,12.3,1,0,81.5
47,Austria,European Union,2014,3.8,65.815,12.4,98,25.5,98,98,0.08,44245,12.1,1,0,81.5
48,Kyrgyz Republic,Asia,2012,26.1,183.8625,5.98,96,26.1,94,96,0.14,994,10.7,0,1,70.0
49,Grenada,Central America and Caribbean,2013,15.8,143.8315,7.81,97,26.7,98,97,0.4,8067,8.5,0,1,72.6
50,Brunei Darussalam,Asia,2010,9.7,91.9455,0.25,96,26.4,99,95,0.1,33437,8.8,0,1,74.7
51,Greece,European Union,2009,3.9,75.948,8.32,95,27.0,99,99,0.09,22839,10.1,1,0,80.2
52,Norway,Rest of Europe,2010,3.3,64.862,6.59,88,26.4,93,93,0.04,72427,12.7,1,0,81.0
53,Uruguay,South America,2006,13.5,116.762,6.45,95,26.3,95,95,0.2,10575,8.0,0,1,76.0
54,Croatia,European Union,2006,6.4,109.298,10.98,96,26.2,96,96,0.02,11960,9.9,1,0,75.8
55,Romania,European Union,2008,14.0,151.8615,12.38,97,25.8,95,96,0.04,8280,10.6,1,0,72.6
56,Central African Republic,Africa,2011,140.5,463.613,1.97,47,22.5,47,47,1.78,550,3.7,0,1,48.0
57,Algeria,Africa,2015,25.2,95.8155,0.55,95,25.5,95,95,0.05,4178,7.9,0,1,76.1
58,"Yemen, Rep.",Middle East,2011,58.5,231.9445,0.04,69,23.4,69,69,0.03,2311,2.8,0,1,65.8
59,Armenia,Rest of Europe,2009,19.2,139.3615,3.97,93,26.0,94,93,0.08,2884,11.1,0,1,73.1
60,Zimbabwe,Africa,2004,92.4,686.639,2.48,68,23.4,67,65,9.75,1212,6.8,0,1,43.1
61,St. Vincent and the Grenadines,Central America and Caribbean,2003,21.7,179.187,5.47,99,25.8,99,99,0.4,6075,7.8,0,1,71.1
62,Kenya,Africa,2007,68.0,345.5865,1.2,81,22.6,76,81,2.73,1287,6.0,0,1,57.5
63,"Micronesia, Fed. Sts.",Oceania,2003,35.2,180.9535,3.16,89,28.9,88,92,0.17,3035,5.5,0,1,65.1
64,Antigua and Barbuda,Central America and Caribbean,2004,13.5,148.5575,6.72,97,25.5,97,97,0.1,14400,9.1,0,1,74.8
65,Nepal,Asia,2007,53.4,191.5375,0.2,82,21.4,82,82,0.17,643,3.0,0,1,66.3
66,Lithuania,European Union,2005,9.0,222.069,12.42,95,26.2,93,94,0.06,9766,11.8,1,0,71.3
67,Vanuatu,Oceania,2003,28.1,168.7145,0.88,64,25.6,67,69,0.17,2519,6.5,0,1,68.0
